,Unnamed: 0,Job Role,Company,Job_Description,id
14,14,machine learning engineer,ubs,"job reference 
294209br

job type
full time

your role
are you interested in pursuing your career in asset management does working in a data driven business excite you do you want to be part of the data revolution by performing hands on data analysis and developing mldlgen ai models to produce working and scalable concepts along with managing multiple initiatives for crossfunctional data analytics needs

were looking for someone to work with a crossfunctional team to

 work with teams of data scientists and quant developers to create deploy and monitor models in production work with a team of data engineers to source and transform data and to create robust scalable data and model development infrastructure build components to manage the model lifecycle from feature engineering through deployment validation and monitoring work with researchers and productmodel owners to help drive product development and innovation design and solution production quality mldlgen ai models

your team
youll be working in the chief data office cdo within ubs global asset management were responsible for defining data strategy and supporting the management of core data sets used across asset management our team is structured to encompass several functions including data strategy and delivery data mastering and governance data architecture and data analytics were based in new york city chicago zurich and pune

your expertise

 minimum of 5 years of handson experience with data science mldl engineering experience with machine learning apis and computational packages ie numpy scikitlearn pandas experience in developing ml dl and gen ai models experience with sql and nosql databases experience with cloud big data technology azure preferred understanding of agile software methodology and modern cicd practices data domain knowledge of market data security reference data macroeconomics indicators equity fundamental data trades and positions data risk data is a plus bs in computer science software engineering statistics or equivalent

about us
ubs is the worlds largest and the only truly global wealth manager we operate through four business divisions global wealth management personal  corporate banking asset management and the investment bank our global reach and the breadth of our expertise set us apart from our competitors

we have a presence in all major financial centers in more than 50 countries

join us
at ubs we embrace flexible ways of working when the role permits we offer different working arrangements like parttime jobsharing and hybrid office and home working our purposeled culture and global infrastructure help us connect collaborate and work together in agile ways to meet all our business needs

from gaining new experiences in different roles to acquiring fresh knowledge and skills we know that great work is never done alone we know that its our people with their unique backgrounds skills experience levels and interests who drive our ongoing success together were more than ourselves ready to be part of teamubs and make an impact

disclaimer  policy statements
ubs is an equal opportunity employer we respect and seek to empower each individual and support the diverse cultures perspectives skills and experiences within our workforce

your career comeback
we are open to applications from career returners find out more about our program on ubscomcareercomeback",14
15,15,python developer,nxtdos,"urgently hiring for a role of python developer

location andheri mumbai

years of experience 2

job description

key responsibilities

design and develop software applications using python programming language and related tools knowledge of tkinter would be appretiated

work with aiml algorithms to develop machine learning models for data analysis prediction and optimization

develop and maintain restful apis for communication with frontend applications and thirdparty services

utilize various software development methodologies such as agile or scrum to deliver highquality software on time

collaborate with crossfunctional teams including product managers data scientists and other software engineers

troubleshoot and debug software applications to ensure optimal performance and functionality

conduct research and recommend new tools and technologies to enhance software development processes and improve application performance

ensure the security reliability and scalability of software applications

overall the ideal candidate should be a problem solver with excellent attention to detail and strong communication and collaboration skills they should also be able to ensure the security reliability and scalability of software applications

in terms of preferred qualifications a bachelors in computer science software engineering or a related field may be beneficial experience with cloudbased computing platforms such as aws or google cloud and devops tools such as docker jenkins or gitlab would also be advantageous familiarity with data visualization tools such as tableau or power bi could also be useful for developing applications that present data in a userfriendly way

interested candidates kindly email their resume on nidhigminfotechin",15
16,16,sr mep bim modeler mech piping,neotech bim,experience  3 years working area  mech room  boiler room  vrf system  hydronic system child water and hot water salary  4580 lk inr  year software  revit  autocadfabrication cadmep  navis works education  bachelor in mechanical  diploma with 5 years of experience,16
17,17,data scientist,dsights,"job title data scientist python
location bengaluru
job type fulltime
experience level 45 years
company overviewdsights is data science startup committed to leveraging datadriven insights to enhance decisionmaking and drive innovation we are seeking a talented and motivated data scientist with expertise in advanced analytics  machine leanring and python to join our dynamic team
job description
as a data scientist specializing in python you will play a key role in developing and implementing datadriven solutions to support business objectives you will work closely with crossfunctional teams to analyse large datasets build predictive models and derive actionable insights that drive decisionmaking and innovation
responsibilities
collaborate with stakeholders to understand business requirements and objectivescollect clean and preprocess data from various sources to ensure data quality and integrityutilize python libraries and frameworks for data manipulation analysis and machine learningdevelop and implement machine learning algorithms and statistical models to solve business problems and optimize processesperform exploratory data analysis to identify patterns trends and correlations in the dataevaluate model performance and refine methodologies to improve accuracy and efficiencycommunicate findings and insights to both technical and nontechnical stakeholders through reports and presentationsstay updated on the latest advancements in data science machine learning and python programming
qualifications
bachelors or masters degree in economics computer science statistics mathematics or a related fieldstrong proficiency in python programming language for data analysis machine learning and scriptingsolid understanding of machine learning concepts and algorithmsfamiliarity with data visualization tools and techniquesexperience with data preprocessing feature engineering and model evaluationknowledge of data querying languages such as sql is a plusexcellent problemsolving skills and attention to detailstrong communication and collaboration skills with the ability to work effectively in a team environmentpassion for continuous learning and professional developmentadditional informationthis is an exciting opportunity for individuals looking to kickstart their career in data science and machine learningwe offer a supportive and collaborative work environment where your contributions are valued and recognizedcompetitive salary and benefits package commensurate with experiencehow to apply
if you are a motivated and enthusiastic individual with a passion for data science and machine learning we encourage you to apply by sending your resume and cover letter to connnectdsightsonlinecom please include  data scientist python in the subject line of your email restarters and lateral movers with keen interest in data sceince machine leanring and data engineering are encouraged to apply
dsights is an equal opportunity employer and is committed to diversity and inclusion in the workplace we do not discriminate on the basis of race colour religion sex national origin age disability or any other characteristic protected by applicable laws we value diversity and strive to create an inclusive environment for all employees",17
18,18,machine learning  computer vision engineer,harman india,"minimum of 510 years of overall experience  in technical projects
what you need
good at programming is a basic passing criterion for this rolecandidate should be able to write intermediate level programs in python andor cgood pseudo codesgood at image based machine learning andor 2d3d computer visionml skillset should be largely used in projects involving images from cameraswithin cvml candidate should have algorithm development experiencenot looking for data science data analysis roles 

minimum qualificationmasters degree in computer science electrical engineering or comparable experiencepatents papers anything indicating industry research in cvml areaprojects involving computer vision stereo camera geometry  cnn object detectionclassification deep learning etctechnical leadership skills and the ability to motivate and inspire people",18
19,19,python developer,infosys,"primary skills python django postgresql

a day in the life of an infoscion

 as part of the infosys delivery team your primary role would be to provide best fit architectural solutions for one or more projects you would also provide technology consultation and assist in defining scope and sizing of work you would implement solutions create technology differentiation and leverage partner technologies additionally you would participate in competency development with the objective of ensuring the bestfit and high quality technical solutions you would be a key contributor in creating thought leadership within the area of technology specialization and in compliance with guidelines policies and norms of infosys if you think you fit right in to help our clients navigate their next in their digital transformation journey this is the place for you knowledge of architectural design patterns performance tuning database and functional designs handson experience in service oriented architecture ability to lead solution development and delivery for the design solutions experience in designing high level and low level documents is a plus good understanding of sdlc is a prerequisite awareness of latest technologies and trends logical thinking and problem solving skills along with an ability to collaborate",19
21,21,machine learning engineer,braintrust,"job description

6 month project

40hours per week

start date asap

a machine learning engineer with a strong focus on natural language processing and generative ai as an ml engineer at ustoa youll spearhead initiatives in the financial services and healthcare sectors harnessing the power of data and ai to drive transformative solutions

the opportunity

collaborate closely with crossfunctional teams to design and implement robust ml and nlp algorithmsseamlessly integrate varied data sources ensuring optimal data integrity for model trainingdesign develop and deploy generative ai models ensuring efficient operations in production environmentsproactively address and optimize any performance issues in deployed modelscontinuously innovate staying updated with the latest in ml nlp and generative ai trends

what you need

bachelors degree in computer science or related disciplineat least two years of handson experience in ml and nlp using pythonexpertise in generative ai techniques and associated frameworksfamiliarity with distributed computing tools such as hadoop hive and sparkproven ability to deploy productionready ml models ensuring scalability and reliabilityproficient in deep learning frameworks like pytorch tensorflow and kerasindepth understanding of advanced nlp and generative algorithmsstrong experience with scientific computation libraries such as numpy pandas and scikitlearnmastery over data visualization using tools like matplotlib and seaborncomprehensive understanding of experimental design ab testing and advanced statistical techniquesproficiency with git github and linux administrationdemonstrated leadership in endtoend ml project cycles from conception to deploymentrobust understanding of hyperscalers such as aws gcp and azurean intrinsic drive to innovate combined with a problemsolving mindset",21
22,22,sustainability manager,godrej properties limited,"job title senior manager  sustainability
job type permanent fulltime
function design strategy
business godrej properties limited 
location ho mumbai maharashtra india
about godrej industries limited and associate companies gilac
gilac is a holding company of the godrej group we have significant interests in consumer goods real estate agriculture chemicals and financial services through our subsidiary and associate companies across 18 countries 
httpswwwgodrejindustriescom
about godrej properties limited gpl
godrej properties brings the godrej group philosophy of innovation sustainability and excellence to the real estate industry each godrej properties development combines the over 125year legacy of excellence and trust with a commitment to cuttingedge design technology and sustainability 
 wwwgodrejpropertiescom 
key requirements 
strong knowledge of esg issues relevant to the real estate industry including decarbonization waste management green building standards and sustainable construction materialsdeep understanding of esg reporting and rating frameworks such as gri djsi gresb sasb tcfd cdp ungc and msciexcellent stakeholder management skills with the ability to engage and influence internal and external stakeholders
who are we looking for
education mba from premium institute 
experience experience in supply chain sustainability including sustainable sourcing supplier engagement and capacity building initiativesgood research  analytical skills
whats in it for you
be an equal parent
maternity support including paid leave ahead of statutory guidelines and flexible work options on return 
paternity support including paid leave 
new mothers can bring a caregiver and children under a year old on work travel
adoption support gender neutral and based on the primary caregiver with paid leave options 
no place for discrimination at godrej 
genderneutral antiharassment policy 
same sex partner benefits at par with married spouses 
gender transition support
we are selfish about your wellness 
comprehensive health insurance plans as well as accident coverage for you and your family with topup options 
trust based sick leave 
mental wellness and selfcare programmes resources and counselling
celebrating wins the godrej way 
structured recognition platforms for individual team and businesslevel achievements 
performancebased earning opportunities 
httpswwwgodrejcareerscombenefits
an inclusive godrej 
before you go there is something important we want to highlight there is no place for discrimination at godrej diversity is the philosophy of who we are as a company and has been for over a century its not just in our dna and nice to do being more diverse  especially having our team members reflect the diversity of our businesses and communities  helps us innovate better and grow faster we hope this resonates with you
we take pride in being an equal opportunities employer we recognise merit and encourage diversity we do not tolerate any form of discrimination on the basis of nationality race colour religion caste gender identity or expression sexual orientation disability age or marital status and ensure equal opportunities for all our team members 
if this sounds like a role for you apply now we look forward to meeting you",22
24,24,data scientist,artivaticai insurtech  healthtech,"objective of the position
the purpose of computer vision is to program a computer to understand a scene or features in an image
typical goals of computer vision include 
the detection segmentation localization and recognition of certain objects in images eg human faces
roles and responsibilities
developing novel algorithms and modelling techniques to advance the state of the art in document and text extractionimage recognition object identification and visual recognitionworking closely with rd and machine learning engineers implementing algorithms that power user and developerfacing productsbe responsible for measuring and optimizing the quality of your algorithms
skills required 
 deep learning open cv object detection text recognition  ocr programming skills with multithreaded gpusexperience in applying machine learning and computer vision principles to realworld data and working in scanned and documented imagesgood knowledge of computer science math and statistics fundamentals algorithms and data structures meshing sampling theory linear algebra etcknowledge of data science technologies such as python pandas scipy numpy matplotlib  scikit learn etcbroad computer vision knowledge  construction feature detection segmentation classificationmachinedeep learning  algorithm evaluation preparation analysis modeling and executionfamiliarity with open cv yolo capsule network or similar and open source ar platforms and productshave profound knowledge of seq2seq temporal classification opencv etcshould have logical knowledge for generating the realtime datasetadded advantage if you have worked in unstructured documentsstrong problemsolving and logical skillsa gogetter kind of attitude with a willingness to learn new technologieswellversed in software design paradigms and good development practices
qualificationbachelors or masters degree in computer science computer vision or related field with specialization in image processing or machine learning28 years of relevant experience in computer vision or data scientistresearch experience in deep learning models for image processing or ocrrelated field is preferredpublication record in deep learning models for computer vision conferencesjournals is an additional advantage
remunerationcompetitive with opportunity to create wealth through performance and delivery
job locationindore work from office",24
25,25,assistant manager  projects,pidilite industries limited,"the position is accountable for conceptualisation and execution of investment projects assigned by the chief  projects or head  projects while achieving the project objectives of ehs quality cost and schedule the projects may be mix of multiple divisional projects including brownfield projects or a large green field project with total investment between 10 to 30 cr
a project planning  preparation of capex proposals connecting with rd  operations for understanding user requirements and preparing project justification defining scope of project in concurrence with engineering packaging and site teams preparing project cost estimation preparing project schedule organisation chart for execution 
b detail engineering  procurement preparation of pi diagrams equipment arrangement drawings together with process engineering and site operations implementing internal technical guidelines and ehs requirements in design of facilities coordinating pra steps hazop study wherever required with ehs and process teams coordinating with engineering disciplines civil electrical  instrumentation ehs quality logistics for detail design  procurement  engaging the services of detail engineering consultants where necessary preparation of technical specifications  ordering of equipment and tagged items calculating material take off mto  ordering of bulk materials preparing tenders for installation work and awarding construction contracts maintaining procurement  delivery tracker for regular reviews in irm drm and for timely completion of work
c site execution planning the execution of site work with engineering disciplines and site engineering teams planning of shutdown activities in coordination with site operations where applicable follow up with vendors for timely deliveries to site and arranging installation  commissioning support where required coordination with construction contractors and site team for timely execution of work organising pssr with ehs teams and closing out the punch list items participating in commissioning and handing over of project facility to operations with proper documentation  signing off of hoto document
d project systems mis reporting  related activities working in cer portal for code preparation in system  their closure working in sap for procurement pr cost status report cwip generation  monitoring of project progress wrt time and cost as per plan  budget regularly updating the irm and drm files working with finance team for project close out and asset capitalization",25
28,28,machine learning engineer,adani digital labs,"this is a fulltime role for an ml engineer the ml engineer will be responsible for developing and improving train waitlist prediction algorithms for our platform they will also be responsible for software development and implementation and collaborating with the team to test and deploy the platform
qualificationsstrong background in computer science and aimlpreferred experience with core ml algorithmspreferred experience training and deploying ml models in productioncomfortable working with python pandas tensorflow scikit learnstrong problemsolving and analytical skillsexperience with azure is a plus",28
29,29,junior data scientist,gracywoods games ltd,"responsibilities
gather clean and preprocess large volumes of structured and unstructured data from various sources including relational databases eg mysql and nosql databases eg mongodb develop data pipelines and etl processes to ensure data quality and reliability
develop and implement statistical models and algorithms to solve specific business problems such as predictive modeling clustering classification and regression analysis utilize techniques such as linear regression logistic regression decision trees and random forests
visualize data and model outputs effectively using tools like matplotlib and seaborn communicate findings and insights to stakeholders through clear and compelling presentations reports and dashboards
query manipulate and analyze data stored in relational databases eg mysql and nosql databases eg mongodb using sql and nosql query languages optimize database performance and ensure data integrity and security
collaborate with crossfunctional teams including data engineers software developers and business analysts to understand business requirements and translate them into analytical solutions engage with stakeholders to gather feedback iterate on solutions and drive alignment towards common goals
stay abreast of the latest advancements in data science machine learning and related fields experiment with new algorithms techniques and tools to improve model performance optimize processes and drive innovation within the organization
qualifications
currently pursuing a degree in data science computer science statistics mathematics or a related field
proven experience in data analysis statistical modeling and machine learning preferably in a business or research setting
strong proficiency in programming languages such as python as well as experience with libraries and frameworks for data manipulation analysis and modeling eg pandas numpy scipy scikitlearn
solid understanding of database management systems including relational databases eg mysql and nosql databases eg mongodb proficiency in sql and nosql query languages
solid understanding of statistical concepts and methodologies including hypothesis testing regression analysis and experimental design
experience with data visualization tools and techniques for presenting insights effectively to nontechnical stakeholders
excellent problemsolving skills attention to detail and ability to work both independently and collaboratively in a dynamic environment
strong communication and interpersonal skills with the ability to translate complex technical concepts into actionable insights for business stakeholders
what we offer
opportunity to work on cuttingedge projects in a fastpaced innovative environment
guidance and mentorship from our cto
a supportive and collaborative team culture
flexible work arrangements",29
30,30,assistant manager  regulatory affairs,nykaa,"topline
documentation of regulatory product dossiers compliance implementation within different verticals with process and trainingregulatory auditing skills for the compliance process strengtheninglegislative aspect of regulations forming and designingadvocacy partnering with industry association for industry agenda
role and responsibilities
knowledge of the regulations as drugs and cosmetics act 1940 fssai 2006 legal metrology act 2009 bureau of indian standards biscosmetics mfg and imports documentation as  evaluating organising managing and collating information in a dossier formatensuring compliance with regulations set by the fdacdscofssai regulations for sales storagedistribution purposeexperience of managing internal documentation repository for the various registration and licensing activities for cosmetics drugs and accessories etcfamiliar with plastic waste management rules 2020 ecommerce rules 2020 and consumer protection rules 2020 and its applicability to businesshandsome knowledge for the labelling check for drugscosmetics ayurvedics foodsnutraceuticals manage and keeping up to date with changes in regulatory legislation and guidelines applicable to ecommerce businessexperience for dealing with the regulatory offices and presenting organization for the different kind of notice as legal metrology violation pollution control board fda rules violation etcinternational us uk mena and asean registration experience for cosmetics products
requirements
experience of 47 years experience working in luxurycosmetics industry will be preferred with good verbal and written communication skills able to draft the process reports for management reportingproactive in stakeholders cross functional working for collaboration for regulatory complianceskills for identifying the stakeholders customer needs and upcoming challenges in operationexternal regulatory authority dealing and negotiation skills as to mitigate the compliance riskable to develop corporate relationship within the external association as for advocating organization agenda",30
